Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year
fonctionnement chaudiere fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.07,,260,10,2013
prix du fioul calvados,Fioul - Price,0.33,0.76,20,10,2013
prix du fioul pas de calais,Fioul - Price,0.13,0.73,40,10,2013
prix du fioul gard,Fioul - Price,0.25,0.2,10,10,2013
prix du fioul orne,Fioul - Price,0.19,0.19,10,10,2013
evolution prix du fuel,Fioul - Price,0.09,0.46,390,10,2013
evolution prix fuel,Fioul - Price,0.11,0.35,140,10,2013
prix du fioul var,Fioul - Price,0.36,0.69,20,10,2013
comparateur prix fioul,Fioul - Low cost,0.62,0.67,170,10,2013
prix du fioul sarthe,Fioul - Price,0.22,0.67,10,10,2013
commande de fioul,Fioul - Transactional,0.67,1.39,40,10,2013
tarif du fuel,Fioul - Price,0.25,0.52,140,10,2013
prix du fuel domestique aujourd hui,Fioul - Price,0.14,1.61,720,10,2013
aide au fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.27,0.75,40,10,2013
livraison fioul domestique,Fioul - Transactional,0.52,1.58,320,10,2013
prix du fioul isere,Fioul - Price,0.22,0.25,20,10,2013
prix du fioul morbihan,Fioul - Price,0.22,0.76,30,10,2013
cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.79,320,10,2013
prix du fioul loiret,Fioul - Price,0.27,0.57,20,10,2013
achat groupé fioul,Fioul - Transactional,0.59,0.96,320,10,2013
prix du fioul ille et vilaine,Fioul - Price,0.1,0.52,20,10,2013
prix du fioul somme,Fioul - Price,0.12,0.15,30,10,2013
prix fuel chauffage,Fioul - Price,0.32,0.35,50,10,2013
prix fioul domestique aujourd hui,Fioul - Price,0.26,0.32,320,10,2013
prix litre de fioul,Fioul - Price,0.14,0.18,50,10,2013
prix moyen du fioul,Fioul - Price,0.11,0.41,50,10,2013
cout du fioul,Fioul - Price,0.1,0.3,70,10,2013
prix fioul aujourd hui,Fioul - Price,0.26,0.49,20,10,2013
vente fioul domestique,Fioul - Transactional,0.48,0.65,40,10,2013
courbe prix du fioul,Fioul - Price,0.07,0.65,10,10,2013
fioul tarif,Fioul - Price,0.42,0.53,110,10,2013
prix du litre de fioul domestique aujourd hui,Fioul - Price,0.19,0.53,90,10,2013
nettoyage cuve fioul prix,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,1.13,70,10,2013
prix du fioul maine et loire,Fioul - Price,0.2,0.32,10,10,2013
chaudiere fioul ventouse,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.52,110,10,2013
prix du fioul deux sevres,Fioul - Price,0.09,0.75,10,10,2013
commande fuel,Fioul - Transactional,0.69,2.04,40,10,2013
nettoyage cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.21,2.08,90,10,2013
vente fioul,Fioul - Transactional,0.31,0.67,10,10,2013
aide pour le fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.4,0.79,40,10,2013
estimation consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.1,0.97,30,10,2013
cout fioul,Fioul - Price,0.15,0.58,30,10,2013
prix du litre de fuel domestique,Fioul - Price,0.14,0.66,70,10,2013
court du fioul domestique,Fioul - Price,0.18,0.36,10,10,2013
cours fuel domestique aujourd hui,Fioul - Price,0.35,0.43,50,10,2013
le fioul va t il baisser,Fioul - Price,0.22,1.08,10,10,2013
prix du fioul aisne,Fioul - Price,0.11,0.5,10,10,2013
consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.04,0.84,90,10,2013
tendance prix du fuel domestique aujourd hui,Fioul - Price,0.22,0.68,70,10,2013
tarif du fuel domestique aujourd hui,Fioul - Price,0.28,0.64,30,10,2013
fuel le moins cher,Fioul - Low cost,0.78,0.51,140,10,2013
prix du litre de fuel,Fioul - Price,0.08,0.17,140,10,2013
simulateur consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.07,1.11,40,10,2013
prix du fioul evolution,Fioul - Price,0.1,0.42,20,10,2013
cours du fioul domestique aujourd hui,Fioul - Price,0.24,0.53,70,10,2013
evolution du prix du fuel,Fioul - Price,0.13,0.27,50,10,2013
prix moyen du fuel domestique,Fioul - Price,0.21,0.33,70,10,2013
prix du fioul de chauffage,Fioul - Price,0.28,0.65,50,10,2013
evolution prix fuel domestique,Fioul - Price,0.08,0.9,110,10,2013
prix du fioul tendance,Fioul - Price,0.26,0.6,30,10,2013
fioul limoges,Fioul - Generic,0.27,0.25,40,10,2013
court du fuel,Fioul - Price,0.23,0.26,10,10,2013
tendance prix fioul domestique,Fioul - Price,0.22,0.44,30,10,2013
