month,year,Average,Max,Min
1,2013,4.702517387861538,22.400000000000034,-12.299999999999955
1,2014,7.351891874361649,19.200000000000045,-8.299999999999955
1,2015,5.520695880447072,21.80000000000001,-9.799999999999955
1,2016,6.830535407681783,19.80000000000001,-9.699999999999989
1,2017,3.03827515834047,17.80000000000001,-13.299999999999955
1,2018,8.162012487166583,21.400000000000034,-4.699999999999989
1,2019,9.542157413871672,32.700000000000045,-9.199999999999989
2,2013,3.6723036524070847,18.200000000000045,-15.199999999999989
2,2014,7.480211654006554,20.5,-4.0
2,2015,4.653483544511084,18.100000000000023,-10.799999999999955
2,2016,7.055041964322664,22.200000000000045,-6.2999999999999545
2,2017,7.7937475441532325,21.30000000000001,-3.8999999999999773
2,2018,3.353851316881499,19.600000000000023,-16.599999999999966
2,2019,11.634265567313784,32.5,-13.299999999999955
3,2013,6.697885112156779,21.900000000000034,-9.899999999999977
3,2014,9.241257055928887,25.100000000000023,-4.899999999999977
3,2015,8.649930922599067,24.30000000000001,-5.099999999999966
3,2016,7.60884167478618,27.200000000000045,-5.5
3,2017,10.43718460198152,26.200000000000045,-2.5
3,2018,7.551270155128018,21.30000000000001,-7.2999999999999545
3,2019,13.260201718261305,33.900000000000034,-13.899999999999977
4,2013,10.483665335048384,30.100000000000023,-5.099999999999966
4,2014,12.474844568392614,27.30000000000001,-3.3999999999999773
4,2015,12.203519160604039,29.200000000000045,-4.199999999999989
4,2016,10.586585926270565,24.30000000000001,-2.3999999999999773
4,2017,11.139751535495972,27.5,-4.5
4,2018,13.178866956062482,29.100000000000023,-1.1999999999999886
4,2019,14.089082269643741,34.10000000000002,-20.899999999999977
5,2013,12.174166210342646,25.80000000000001,-0.7999999999999545
5,2014,14.088832980679614,28.600000000000023,-0.39999999999997726
5,2015,15.038149283368002,36.10000000000002,0.9000000000000341
5,2016,14.429679927502086,32.80000000000001,-0.2999999999999545
5,2017,15.958815665103593,33.5,-0.2999999999999545
5,2018,15.494969389845773,29.5,0.4000000000000341
5,2019,15.442128895676001,33.400000000000034,-24.799999999999983
6,2013,16.83879419001296,38.10000000000002,4.100000000000023
6,2014,18.964483972069356,36.700000000000045,2.7000000000000455
6,2015,19.208937667225047,38.30000000000001,4.5
6,2016,17.857042804301106,34.200000000000045,5.900000000000034
6,2017,20.37325334917,38.0,3.5
6,2018,18.66967073957854,33.900000000000034,3.900000000000034
6,2019,19.663191584028365,42.0,-28.49999999999997
7,2013,21.848441275243946,37.5,6.7000000000000455
7,2014,19.886543688226393,35.80000000000001,6.5
7,2015,21.91912041030789,39.400000000000034,2.7000000000000455
7,2016,20.582295602616274,39.700000000000045,5.800000000000011
7,2017,20.854466025382052,37.900000000000034,7.7000000000000455
7,2018,22.448427726476726,36.80000000000001,7.900000000000034
7,2019,21.814522568791684,41.400000000000034,-26.399999999999977
8,2013,20.170290358034443,37.5,6.600000000000023
8,2014,18.477106818919236,35.200000000000045,4.900000000000034
8,2015,21.555517664014747,37.700000000000045,6.600000000000023
8,2016,20.84959369520848,37.5,4.300000000000011
8,2017,20.568722306548462,38.30000000000001,6.400000000000034
8,2018,22.04799768502505,38.0,7.7000000000000455
8,2019,20.813850739816036,35.5,-25.599999999999966
9,2013,17.21157519414292,33.700000000000045,4.400000000000034
9,2014,18.18957635181309,32.30000000000001,2.5
9,2015,15.800814954350631,32.200000000000045,1.7000000000000455
9,2016,18.826795631694207,36.700000000000045,3.400000000000034
9,2017,15.65353672889175,31.100000000000023,0.7000000000000455
9,2018,18.379242288425022,34.400000000000034,1.0
9,2019,18.553334866225747,35.900000000000034,-28.299999999999983
10,2013,14.79518846587326,29.80000000000001,-3.5
10,2014,15.217269749839645,31.0,-0.0999999999999659
10,2015,12.268846479070088,27.0,-2.0
10,2016,12.125645931650226,27.900000000000034,-4.899999999999977
10,2017,14.27079012275507,30.100000000000023,-5.0
10,2018,13.746043768300225,29.600000000000023,-1.7999999999999545
10,2019,17.084691561943607,36.0,-22.099999999999966
11,2013,8.035786608244639,23.900000000000034,-11.899999999999977
11,2014,10.927107042214713,25.5,-4.399999999999977
11,2015,10.949332507751754,26.400000000000034,-8.0
11,2016,8.710722756334091,23.400000000000034,-7.099999999999966
11,2017,8.13634505789991,22.400000000000034,-7.199999999999989
11,2018,9.231654888426155,21.80000000000001,-4.899999999999977
12,2013,6.302298800618735,19.900000000000034,-7.7999999999999545
12,2014,6.324875163353764,19.900000000000034,-11.699999999999989
12,2015,9.335453173465918,21.30000000000001,-4.5
12,2016,5.682085506494042,21.80000000000001,-8.0
12,2017,5.789422775891279,19.100000000000023,-9.799999999999955
12,2018,7.6716232144817225,21.5,-8.099999999999966
