Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year,Close,High,Low,Average,Max,Min
prix fioul aujourd hui,Fioul - Price,0.26,0.49,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
vente fioul domestique,Fioul - Transactional,0.48,0.65,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
courbe prix du fioul,Fioul - Price,0.07,0.65,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul tarif,Fioul - Price,0.42,0.53,90,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du litre de fioul domestique aujourd hui,Fioul - Price,0.19,0.53,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
nettoyage cuve fioul prix,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,1.13,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul maine et loire,Fioul - Price,0.2,0.32,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
chaudiere fioul ventouse,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.52,140,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul deux sevres,Fioul - Price,0.09,0.75,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
commande fuel,Fioul - Transactional,0.69,2.04,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
nettoyage cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.21,2.08,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
vente fioul,Fioul - Transactional,0.31,0.67,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
aide pour le fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.4,0.79,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
estimation consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.1,0.97,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cout fioul,Fioul - Price,0.15,0.58,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du litre de fuel domestique,Fioul - Price,0.14,0.66,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
court du fioul domestique,Fioul - Price,0.18,0.36,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cours fuel domestique aujourd hui,Fioul - Price,0.35,0.43,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
le fioul va t il baisser,Fioul - Price,0.22,1.08,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul aisne,Fioul - Price,0.11,0.5,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.04,0.84,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tendance prix du fuel domestique aujourd hui,Fioul - Price,0.22,0.68,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tarif du fuel domestique aujourd hui,Fioul - Price,0.28,0.64,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fuel le moins cher,Fioul - Low cost,0.78,0.51,110,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du litre de fuel,Fioul - Price,0.08,0.17,170,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
simulateur consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.07,1.11,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul evolution,Fioul - Price,0.1,0.42,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cours du fioul domestique aujourd hui,Fioul - Price,0.24,0.53,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution du prix du fuel,Fioul - Price,0.13,0.27,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix moyen du fuel domestique,Fioul - Price,0.21,0.33,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul de chauffage,Fioul - Price,0.28,0.65,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution prix fuel domestique,Fioul - Price,0.08,0.9,90,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul tendance,Fioul - Price,0.26,0.6,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul limoges,Fioul - Generic,0.27,0.25,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
court du fuel,Fioul - Price,0.23,0.26,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tendance prix fioul domestique,Fioul - Price,0.22,0.44,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul bretagne,Fioul - Generic,0.4,0.18,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix actuel du fuel domestique,Fioul - Price,0.26,0.22,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.74,0.6,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
consommation fuel domestique,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.0,,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul dordogne,Fioul - Price,0.12,0.38,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul cantal,Fioul - Price,0.12,0.08,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul bas rhin,Fioul - Generic,0.22,0.38,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul lorraine,Fioul - Price,0.09,0.58,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul ardennes,Fioul - Price,0.09,0.5,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul tarn et garonne,Fioul - Price,0.19,0.61,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
achat fuel,Fioul - Transactional,0.85,0.55,110,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul lot et garonne,Fioul - Price,0.16,0.61,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution fioul,Fioul - Price,0.15,0.41,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix de fuel,Fioul - Price,0.3,0.52,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fod,Fioul - Price,0.06,0.81,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
quand acheter son fioul,Fioul - Transactional,0.29,1.78,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul correze,Fioul - Price,0.03,,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cours du fioul aujourd hui,Fioul - Price,0.12,0.15,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
comparateur prix fuel,Fioul - Low cost,0.45,0.35,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cours du fuel aujourd hui,Fioul - Price,0.13,0.17,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
augmentation du fioul,Fioul - Price,0.13,0.37,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix de fioul domestique,Fioul - Price,0.34,0.43,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tendance prix du fuel,Fioul - Price,0.2,0.35,140,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul moselle,Fioul - Generic,0.25,0.15,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul drome,Fioul - Price,0.28,0.37,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fournisseur de fioul,Fioul - Transactional,0.46,0.5,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul lozere,Fioul - Price,0.11,0.23,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul domestique pas cher,Fioul - Low cost,0.87,0.67,110,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix fioul evolution,Fioul - Price,0.07,0.49,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul ordinaire,Fioul - Price,0.18,0.58,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
commander du fioul,Fioul - Transactional,0.78,1.28,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fuel premier,Fioul - Price,0.2,0.41,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix litre fuel,Fioul - Price,0.1,0.27,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution prix fioul domestique,Fioul - Price,0.07,1.65,90,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
consommation moyenne fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.01,,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
achat fioul domestique,Fioul - Transactional,0.57,1.43,90,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
le prix du fioul va t il baisser,Fioul - Price,0.16,0.59,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
acheter fioul,Fioul - Transactional,0.6,1.29,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul meuse,Fioul - Price,0.2,0.35,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul saone et loire,Fioul - Price,0.33,0.33,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fuel tarif,Fioul - Price,0.38,0.53,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix fioul superieur,Fioul - Price,0.19,0.62,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
acheter du fioul,Fioul - Transactional,0.67,1.22,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul limoges,Fioul - Price,0.22,0.3,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul seine maritime,Fioul - Price,0.15,0.43,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul puy de dome,Fioul - Price,0.09,0.51,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
consommation fuel,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.02,,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul domestique le moins cher,Fioul - Low cost,0.9,0.7,90,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul allier,Fioul - Price,0.17,,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
augmentation du fuel,Fioul - Price,0.11,0.14,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul haute normandie,Fioul - Price,0.26,0.33,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul strasbourg,Fioul - Price,0.23,1.52,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul chauffage,Fioul - Price,0.17,0.26,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fuel de chauffage,Fioul - Price,0.3,0.33,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul paiement en plusieurs fois,Fioul - Transactional,0.57,1.44,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
vente de fioul,Fioul - Transactional,0.77,1.07,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
livraison fuel domestique,Fioul - Transactional,0.32,0.92,210,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
consommation fuel maison,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.0,,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul meilleur prix,Fioul - Low cost,0.73,0.95,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul nord pas de calais,Fioul - Price,0.09,0.79,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul haute vienne,Fioul - Price,0.27,0.32,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul charente maritime,Fioul - Price,0.13,0.41,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fournisseur fioul,Fioul - Transactional,0.4,0.78,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul haute marne,Fioul - Price,0.17,0.62,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
comparateur prix du fioul,Fioul - Low cost,0.54,0.57,90,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul ain,Fioul - Price,0.27,0.36,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul actuellement,Fioul - Price,0.21,0.31,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul rhone,Fioul - Price,0.25,0.96,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
augmentation fuel,Fioul - Price,0.11,0.34,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul ardeche,Fioul - Price,0.15,0.31,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul oise,Fioul - Generic,0.24,0.12,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fuel au litre,Fioul - Price,0.1,0.31,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
achat groupé fuel,Fioul - Transactional,0.49,0.63,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul domestique bas rhin,Fioul - Price,0.18,0.15,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
nettoyage cuve a fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.76,1.35,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul en ligne,Fioul - Generic,0.58,0.35,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul caen,Fioul - Price,0.29,0.66,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul creutzwald,Fioul - Price,0.19,0.16,0,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix actuel du fuel,Fioul - Price,0.1,0.3,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
le prix du fuel domestique,Fioul - Price,0.27,0.23,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul niort,Fioul - Price,0.2,,0,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
consommation fioul maison 120m2,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.04,,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cours du fuel domestique aujourd hui,Fioul - Price,0.19,0.41,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul perpignan,Fioul - Generic,0.33,0.22,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul charente,Fioul - Price,0.1,0.12,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul marne,Fioul - Price,0.2,0.6,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul yonne,Fioul - Price,0.24,0.41,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul creutzwald,Fioul - Generic,0.26,0.22,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul ariege,Fioul - Price,0.15,0.12,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
évolution du prix du fioul domestique,Fioul - Price,0.1,0.5,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
le prix du litre de fioul,Fioul - Price,0.18,0.26,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul abbeville,Fioul - Price,0.17,0.11,0,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tendance prix fuel,Fioul - Price,0.18,0.36,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
nettoyage cuve fuel,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.83,2.41,170,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
courbe du prix du fioul,Fioul - Price,0.09,1.02,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution prix du fioul domestique,Fioul - Price,0.14,,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fuel domestique pas cher,Fioul - Low cost,0.91,0.98,110,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tendance du prix du fioul,Fioul - Price,0.28,0.46,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution du prix du fuel domestique,Fioul - Price,0.11,0.54,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul ardennes,Fioul - Generic,0.19,1.09,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
combien coute le fioul,Fioul - Price,0.23,0.61,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix litre fuel domestique,Fioul - Price,0.09,0.33,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul le mans,Fioul - Generic,0.41,1.3,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
achat fuel domestique,Fioul - Transactional,0.58,1.71,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
augmentation fuel domestique,Fioul - Price,0.13,,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul rhone alpes,Fioul - Price,0.23,0.43,110,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul amiens,Fioul - Price,0.09,0.71,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
abonnement fioul,Fioul - Transactional,0.31,0.62,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
courbe prix fioul,Fioul - Price,0.08,,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul domestique prix aujourd hui,Fioul - Price,0.27,0.89,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul basse normandie,Fioul - Price,0.19,0.36,90,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution fuel,Fioul - Price,0.17,0.56,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
evolution tarif fioul,Fioul - Price,0.1,1.28,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul haute savoie,Fioul - Generic,0.3,0.31,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
courbe du fioul,Fioul - Price,0.09,0.6,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul dijon,Fioul - Generic,0.27,0.31,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix fioul ordinaire,Fioul - Price,0.2,0.97,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tarifs du fioul domestique aujourd hui,Fioul - Price,0.27,0.77,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
chaudiere fioul a ventouse,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.6,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix litre fioul domestique,Fioul - Price,0.14,0.68,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix moyen fuel domestique,Fioul - Price,0.19,0.68,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
nettoyage d une cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.89,,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
comparatif prix fioul,Fioul - Low cost,0.59,0.57,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fuel domestique tarif,Fioul - Price,0.31,0.38,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix moyen fioul,Fioul - Price,0.24,0.62,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix actuel du fioul,Fioul - Price,0.24,0.23,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
acheter fioul domestique,Fioul - Transactional,0.66,0.82,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
courbe prix fuel domestique,Fioul - Price,0.07,,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix de fuel domestique,Fioul - Price,0.25,0.28,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tendance prix fuel domestique,Fioul - Price,0.2,0.57,70,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
commande de fuel,Fioul - Transactional,0.65,2.2,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul charente,Fioul - Generic,0.17,,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tarif fuel domestique aujourd hui,Fioul - Price,0.32,1.21,110,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
entretien cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.62,3.35,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul manche,Fioul - Generic,0.25,0.62,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tendance du prix du fioul domestique,Fioul - Price,0.22,0.12,30,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix du fioul nievre,Fioul - Price,0.31,0.37,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
meilleur prix fioul,Fioul - Low cost,0.83,0.95,40,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cout fuel domestique,Fioul - Price,0.22,0.37,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
tarif fioul domestique aujourd hui,Fioul - Price,0.23,0.44,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul colmar,Fioul - Generic,0.31,0.71,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul soissons,Fioul - Generic,0.13,0.15,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
le prix du fuel domestique aujourd hui,Fioul - Price,0.32,0.61,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul haute loire,Fioul - Generic,0.07,0.17,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul brest,Fioul - Generic,0.26,0.33,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
commander du fuel,Fioul - Transactional,0.65,1.35,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix moyen du fioul domestique,Fioul - Price,0.15,0.42,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
courbe prix du fuel,Fioul - Price,0.07,,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul saint junien,Fioul - Generic,0.05,0.33,0,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix fuel domestique aujourd hui,Fioul - Price,0.11,0.27,110,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
cours du prix du fioul,Fioul - Price,0.18,0.25,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul eure et loir,Fioul - Generic,0.08,0.95,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
aide pour le chauffage au fuel,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.57,0.32,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul meuse,Fioul - Generic,0.24,0.18,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
courbe prix fuel,Fioul - Price,0.04,0.25,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul castres,Fioul - Generic,0.26,0.26,20,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
prix moyen du fuel,Fioul - Price,0.08,0.11,50,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
fioul le havre,Fioul - Generic,0.16,0.53,10,9,2014,98.63095238095238,103.3,94.24,18.18957635181309,32.30000000000001,2.5
